ReferenceTime,CameraFrameNumber,CameraFrameTime,Background,Fiber_0,Fiber_1,Fiber_2,Fiber_3
933022.571008,38949,672204678701296,257.219047619048,511.27023945268,444.78905359179,272.958375634518,270.881017257039
933022.67104,38950,672204778733296,257.015873015873,517.984036488027,437.199543899658,271.009137055838,267.509536784741
933022.771072,38951,672204878766296,257.625396825397,530.535917901938,431.288483466363,272.113705583756,268.730245231608
933022.871104,38952,672204978799296,257.828571428571,534.695553021665,433.769669327252,274.71269035533,270.822888283379
933022.971136,38953,672205078832296,257.625396825397,509.956670467503,444.570125427594,273.413197969543,271.11353315168
933023.071168,38954,672205178863352,257.625396825397,514.919042189282,444.716077537058,273.153299492386,271.694822888283
933023.1712,38955,672205278896320,257.625396825397,506.964652223489,448,271.72385786802,268.323342415985
933023.271232,38956,672205378929192,258.031746031746,530.60889395667,442.307867730901,271.204060913706,270.415985467757
933023.371264,38957,672205478959352,256.812698412698,527.251995438997,429.75598631699,269.904568527919,270.706630336058
933023.471296,38958,672205578995352,256.406349206349,513.751425313569,433.477765108324,270.81421319797,271.404178019982
933023.571328,38959,672205679028104,257.828571428571,519.88141391106,438.950969213227,271.398984771574,272.450499545867
933023.67136,38960,672205779061056,256.406349206349,522.800456100342,446.832383124287,271.72385786802,271.287920072661
933023.771392,38961,672205879093352,256.609523809524,520.173318129989,432.529076396807,271.074111675127,269.485921889192
933023.871456,38962,672205979127056,258.234920634921,531.776510832383,435.083238312429,274.062944162437,272.799273387829
933023.971488,38963,672206079161944,257.625396825397,535.425313568985,440.629418472064,272.113705583756,268.846503178928
933024.07152,38964,672206179192216,257.219047619048,539.220068415051,446.613454960091,275.167512690355,270.299727520436
933024.171552,38965,672206279225216,257.422222222222,524.989737742303,436.90763968073,269.514720812183,267.2770208901
933024.271584,38966,672206379257864,257.015873015873,513.240592930445,438.950969213227,273.543147208122,272.392370572207
933024.371616,38967,672206479291000,257.625396825397,529.87913340935,443.037628278221,272.958375634518,271.404178019982
933024.471648,38968,672206579326272,257.422222222222,506.234891676169,443.329532497149,273.868020304569,269.13714804723
933024.57168,38969,672206679358968,257.625396825397,524.332953249715,439.169897377423,270.359390862944,272.741144414169
933024.671712,38970,672206779392352,257.219047619048,533.45496009122,433.33181299886,271.269035532995,268.148955495005
933024.771744,38971,672206879424888,258.234920634921,525.57354618016,445.883694412771,274.517766497462,270.706630336058
933024.871776,38972,672206979458352,256.609523809524,522.289623717218,441.724059293044,272.568527918782,272.91553133515
933024.971808,38973,672207079495024,257.625396825397,522.873432155074,442.818700114025,273.348223350254,272.217983651226
933025.07184,38974,672207179524352,256.609523809524,516.524515393387,439.826681870011,275.232487309645,271.520435967302
933025.171872,38975,672207279557080,257.015873015873,533.892816419612,447.416191562144,275.102538071066,270.590372388737
933025.271904,38976,672207379590080,258.438095238095,522.435575826682,452.232611174458,271.334010152284,271.229791099001
933025.371936,38977,672207479620296,257.422222222222,540.460661345496,432.602052451539,268.670050761421,269.311534968211
933025.471968,38978,672207579655136,256.203174603175,525.93842645382,438.513112884835,274.062944162437,271.811080835604
933025.572,38979,672207679686136,258.438095238095,516.451539338654,438.367160775371,273.153299492386,271.578564940963
933025.672064,38980,672207779718320,256.609523809524,517.765108323831,433.477765108324,271.334010152284,270.415985467757
933025.772096,38981,672207879753352,257.422222222222,526.449258836944,443.621436716078,271.204060913706,269.485921889192
933025.872128,38982,672207979784080,258.031746031746,511.708095781072,450.627137970353,274.907614213198,268.265213442325
933025.97216,38983,672208079818056,258.64126984127,514.262257696693,448.656784492588,272.243654822335,269.079019073569
